CONTA_8,NOME_CONTA,CONTA_10
11000006,DISPONIBILIDADES,1100000002
11100009,Caixa,1110000009
11200002,Depósitos Bancários,1120000006
11500001,Disponibilidades em Moedas Estrangeiras,1150000007
12000005,APLICAÇÕES INTERFINANCEIRAS DE LIQUIDEZ,1200000005
12100008,Aplicações em Operações Compromissadas,1210000002
12200001,Aplicações em Depósitos Interfinanceiros,1220000009
12600003,Aplicações em Moedas Estrangeiras,1260000007
13000004,TÍTULOS E VALORES MOBILIÁRIOS E INSTRUMENTOS FINANCEIROS DERIVATIVOS,1300000008
13100007,Livres,1310000005
13200000,Vinculados a Operações Compromissadas,1320000002
13600002,Vinculados à Prestação de Garantias,1360000000
14100006,Direitos Junto a Participantes de Sistema de Liquidação e de Arranjo de Pagamento,1410000008
14200009,Créditos Vinculados,1420000005
16000001,OPERAÇÕES DE CRÉDITO,1600000007
16100004,Empréstimos e Direitos Creditórios Descontados,1610000004
16200007,Financiamentos,1620000001
16300000,Financiamentos Rurais,1630000008
16400003,Financiamentos Imobiliários,1640000005
18000009,OUTROS CRÉDITOS,1800000003
18300008,Rendas a Receber,1830000004
18800003,Diversos,1880000009
18900006,(-) Provisões para Outros Créditos,1890000006
19000008,OUTROS VALORES E BENS,1900000006
19800002,Outros Valores e Bens,1980000002
19900005,Despesas Pagas Antecipadamente,1990000009
21000003,INVESTIMENTOS,2100000001
22000002,IMOBILIZADO DE USO,2200000004
22500007,Ativo Imobilizado de Uso,2250000009
25000009,INTANGÍVEL,2500000003
25100002,Ativos Intangíveis,2510000000
25200005,Ágio na Aquisição de Investimento,2520000007
41000007,DEPÓSITOS,4100000009
41100000,Depósitos à Vista,4110000006
41200003,Depósitos de Poupança,4120000003
41300006,Depósitos Interfinanceiros,4130000000
41500002,Depósitos a Prazo,4150000004
41800001,Depósitos em Moedas Estrangeiras,4180000005
41900004,Outros Depósitos,4190000002
42000006,OBRIGAÇÕES POR OPERAÇÕES COMPROMISSADAS,4200000002
42100009,Carteira Própria,4210000009
42200002,Carteira de Terceiros,4220000006
43500000,Obrigações por Títulos e Valores Mobiliários no Exterior,4350000000
43700006,Captação por Certificados de Operações Estruturadas,4370000004
44100007,Obrigações junto a Participantes de Sistema de Liquidação e de Arranjo de Pagamento,4410000005
46000002,OBRIGAÇÕES POR EMPRÉSTIMOS E REPASSES,4600000004
46300001,Empréstimos no Exterior,4630000005
47000001,INSTRUMENTOS FINANCEIROS DERIVATIVOS,4700000007
49000009,OUTRAS OBRIGAÇÕES,4900000003
49100002,Cobrança e Arrecadação de Tributos e Assemelhados,4910000000
49300008,Sociais e Estatutárias,4930000004
49400001,Fiscais e Previdenciárias,4940000001
49600007,Recursos para Destinação Específica,4960000005
49700000,Operações Especiais,4970000002
49800003,Obrigações Diversas,4980000009
49900006,Diversas,4990000006
61000001,PATRIMÔNIO LÍQUIDO,6100000007
61100004,Capital Social,6110000004
61300000,Reservas de Capital,6130000008
61500006,Reservas de Lucros,6150000002
61900008,(-) Ações em Tesouraria.,6190000000
18500004,Créditos Específicos,1850000008
13400006,Vinculados ao Banco Central,1340000006
16600009,Financiamentos de Infraestrutura e Desenvolvimento,1660000009
46600000,Repasses do Exterior,4660000006
21100006,Investimentos no Exterior,2110000008
11300005,Reservas Livres,1130000003
18600007,Direitos Creditórios Oriundos de Ações Judiciais,1860000005
44500009,Recursos Recebidos de Cooperativas Filiadas,4450000003
13700005,Títulos Objeto de Operações Compromissadas com Livre Movimentação,1370000007
16500006,Financiamentos de Títulos e Valores Mobiliários,1650000002
43100008,Recursos de Aceites Cambiais,4310000002
19100001,Investimentos Temporários,1910000003
21600001,Propriedades para Investimento,2160000003
43400007,Recursos de Debêntures,4340000003
41400009,Depósitos sob Aviso,4140000007
